 Product Description , Client Name , Balance Outstanding , Interest Rate , Reporting Date , Client Code 
 Product A           , Client1     ,1000,5%, 2022-01-31     , Code1       
 Product B           , Client2     ,2000,6%, 2022-02-28     , Code2       
 Product C           , Client3     ,3000,7%, 2022-03-31     , Code3       
 Product D           , Client4     ,4000,8%, 2022-04-30     , Code4       
 Product E           , Client5     ,5000,9%, 2022-05-31     , Code5       
 Product A           , Client6     ,6000,5%, 2022-06-30     , Code6       
 Product B           , Client7     ,7000,6%, 2022-07-31     , Code7       
 Product C           , Client8     ,8000,7%, 2022-08-31     , Code8       
 Product D           , Client9     ,9000,8%, 2022-09-30     , Code9       
 Product E           , Client10    ,10000,9%, 2022-10-31     , Code10      
 Product A           , Client1     ,11000,5%, 2022-11-30     , Code11      
 Product B           , Client2     ,12000,6%, 2022-12-31     , Code12      
 Product C           , Client3     ,13000,7%, 2023-01-31     , Code13      
 Product D           , Client4     ,14000,8%, 2023-02-28     , Code14      
 Product E           , Client5     ,15000,9%, 2023-03-31     , Code15      
 Product A           , Client6     ,16000,5%, 2023-04-30     , Code16      
 Product B           , Client7     ,17000,6%, 2023-05-31     , Code17      
 Product C           , Client8     ,18000,7%, 2023-06-30     , Code18      
 Product D           , Client9     ,19000,8%, 2023-07-31     , Code19      
 Product E           , Client10    ,20000,9%, 2023-08-31     , Code20      
 Product A           , Client1     ,21000,5%, 2023-09-30     , Code21      
 Product B           , Client2     ,22000,6%, 2023-10-31     , Code22      
 Product C           , Client3     ,23000,7%, 2023-11-30     , Code23      
 Product D           , Client4     ,24000,8%, 2023-12-31     , Code24      
 Product E           , Client5     ,25000,9%, 2024-01-31     , Code25      
 Product A           , Client6     ,26000,5%, 2024-02-29     , Code26      
 Product B           , Client7     ,27000,6%, 2024-03-31     , Code27      
 Product C           , Client8     ,28000,7%, 2024-04-30     , Code28      
 Product D           , Client9     ,29000,8%, 2024-05-31     , Code29      
 Product E           , Client10    ,30000,9%, 2024-06-30     , Code30      
 Product A           , Client1     ,31000,5%, 2024-07-31     , Code31      
 Product B           , Client2     ,32000,6%, 2024-08-31     , Code32      
 Product C           , Client3     ,33000,7%, 2024-09-30     , Code33      
 Product D           , Client4     ,34000,8%, 2024-10-31     , Code34      
 Product E           , Client5     ,35000,9%, 2024-11-30     , Code35      
 Product A           , Client6     ,36000,5%, 2024-12-31     , Code36      
 Product B           , Client7     ,37000,6%, 2025-01-31     , Code37      
 Product C           , Client8     ,38000,7%, 2025-02-28     , Code38      
 Product D           , Client9     ,39000,8%, 2025-03-31     , Code39      
 Product E           , Client10    ,40000,9%, 2025-04-30     , Code40      
 Product A           , Client1     ,41000,5%, 2025-05-31     , Code41      
 Product B           , Client2     ,42000,6%, 2025-06-30     , Code42      
 Product C           , Client3     ,43000,7%, 2025-07-31     , Code43      
 Product D           , Client4     ,44000,8%, 2025-08-31     , Code44      
 Product E           , Client5     ,45000,9%, 2025-09-30     , Code45      
 Product A           , Client6     ,46000,5%, 2025-10-31     , Code46      
 Product B           , Client7     ,47000,6%, 2025-11-30     , Code47      
 Product C           , Client8     ,48000,7%, 2025-12-31     , Code48      
 Product D           , Client9     ,49000,8%, 2026-01-31     , Code49      
 Product E           , Client10    ,50000,9%, 2026-02-28     , Code50      
